,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
31,27809,Female,disloyal Customer,15,Business travel,Eco,1043,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0,neutral or dissatisfied
32,70594,Female,Loyal Customer,35,Business travel,Business,2611,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120,satisfied
33,30089,Female,Loyal Customer,67,Personal Travel,Eco,1192,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24,neutral or dissatisfied
34,58779,Male,disloyal Customer,37,Business travel,Business,1182,3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0,neutral or dissatisfied
35,79659,Female,Loyal Customer,40,Business travel,Eco,349,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1,neutral or dissatisfied
36,110293,Female,disloyal Customer,34,Business travel,Business,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0,neutral or dissatisfied
37,48014,Male,Loyal Customer,40,Personal Travel,Eco Plus,550,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20,neutral or dissatisfied
38,96517,Female,Loyal Customer,47,Personal Travel,Eco,302,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31,satisfied
39,64685,Male,disloyal Customer,41,Business travel,Business,354,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0,neutral or dissatisfied
40,64138,Male,Loyal Customer,39,Business travel,Business,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,satisfied
41,60373,Female,disloyal Customer,25,Business travel,Business,1452,3,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23,neutral or dissatisfied
42,14849,Male,Loyal Customer,41,Business travel,Business,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0,satisfied
43,28319,Female,Loyal Customer,38,Business travel,Business,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0,satisfied
44,103012,Female,Loyal Customer,50,Business travel,Business,460,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15,satisfied
45,124114,Male,Loyal Customer,29,Business travel,Business,529,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0,satisfied
46,107794,Female,Loyal Customer,22,Personal Travel,Business,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0,neutral or dissatisfied
47,81983,Female,Loyal Customer,13,Business travel,Business,1522,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0,neutral or dissatisfied
48,53164,Male,Loyal Customer,54,Business travel,Business,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0,satisfied
49,82042,Male,Loyal Customer,21,Personal Travel,Eco,1454,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0,neutral or dissatisfied
50,72127,Male,Loyal Customer,28,Business travel,Eco,731,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8,neutral or dissatisfied
51,113046,Male,Loyal Customer,27,Business travel,Business,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1,satisfied
52,1050,Female,Loyal Customer,69,Business travel,Eco,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0,satisfied
53,54886,Male,Loyal Customer,35,Personal Travel,Eco,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0,neutral or dissatisfied
54,125918,Female,Loyal Customer,60,Personal Travel,Eco,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10,neutral or dissatisfied
55,7467,Female,Loyal Customer,45,Business travel,Business,3334,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48,satisfied
56,78972,Female,Loyal Customer,57,Business travel,Business,2496,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5,satisfied
57,126625,Male,Loyal Customer,40,Business travel,Business,602,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0,satisfied
58,114501,Female,disloyal Customer,38,Business travel,Business,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26,neutral or dissatisfied
59,114813,Male,disloyal Customer,23,Business travel,Eco,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0,neutral or dissatisfied
60,32167,Male,disloyal Customer,39,Business travel,Business,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0,neutral or dissatisfied
61,68001,Female,Loyal Customer,52,Business travel,Business,3475,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0,satisfied
62,117052,Male,disloyal Customer,25,Business travel,Eco,646,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1,neutral or dissatisfied
63,8661,Female,Loyal Customer,48,Business travel,Business,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0,satisfied
64,57165,Female,Loyal Customer,59,Business travel,Business,2227,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15,satisfied
65,78610,Male,Loyal Customer,25,Business travel,Business,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0,satisfied
66,51058,Male,Loyal Customer,38,Personal Travel,Eco,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0,neutral or dissatisfied
67,92027,Male,Loyal Customer,46,Business travel,Business,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0,satisfied
68,115534,Male,Loyal Customer,50,Business travel,Eco,308,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12,neutral or dissatisfied
69,9261,Female,Loyal Customer,38,Business travel,Eco Plus,157,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0,satisfied
70,61033,Female,Loyal Customer,53,Business travel,Business,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0,satisfied
71,75930,Male,Loyal Customer,30,Business travel,Eco Plus,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49,neutral or dissatisfied
72,112142,Male,disloyal Customer,39,Business travel,Business,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2,neutral or dissatisfied
73,24518,Male,Loyal Customer,66,Personal Travel,Eco Plus,516,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37,neutral or dissatisfied
74,112524,Male,Loyal Customer,45,Personal Travel,Eco,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0,neutral or dissatisfied
75,101639,Female,disloyal Customer,25,Business travel,Business,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1,satisfied
76,85018,Male,Loyal Customer,52,Business travel,Business,1190,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6,neutral or dissatisfied
77,106922,Male,Loyal Customer,64,Personal Travel,Eco,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5,satisfied
78,32564,Female,disloyal Customer,50,Business travel,Eco,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0,neutral or dissatisfied
79,92242,Female,disloyal Customer,41,Business travel,Business,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0,neutral or dissatisfied
80,73302,Male,Loyal Customer,26,Business travel,Business,3960,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48,satisfied
81,42267,Female,disloyal Customer,25,Business travel,Eco,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0,neutral or dissatisfied
82,121358,Female,disloyal Customer,44,Business travel,Business,1670,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8,neutral or dissatisfied
83,65655,Female,disloyal Customer,21,Business travel,Business,861,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0,satisfied
84,88062,Male,Loyal Customer,47,Business travel,Business,406,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50,satisfied
85,91330,Male,Loyal Customer,31,Business travel,Eco Plus,404,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3,satisfied
86,22031,Female,Loyal Customer,57,Personal Travel,Eco Plus,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0,neutral or dissatisfied
87,27921,Male,Loyal Customer,44,Personal Travel,Eco,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0,neutral or dissatisfied
88,51947,Male,Loyal Customer,45,Business travel,Business,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0,satisfied
89,40017,Male,disloyal Customer,13,Business travel,Eco,525,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0,neutral or dissatisfied
90,76392,Male,Loyal Customer,60,Personal Travel,Eco,931,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0,satisfied
91,118486,Female,disloyal Customer,41,Business travel,Business,304,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19,satisfied
92,6012,Male,Loyal Customer,30,Business travel,Business,1896,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72,neutral or dissatisfied
93,30183,Female,Loyal Customer,51,Business travel,Eco Plus,261,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0,satisfied
94,41652,Female,Loyal Customer,61,Business travel,Eco,347,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11,satisfied
95,15138,Female,Loyal Customer,32,Business travel,Eco,1042,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34,satisfied
96,123589,Female,Loyal Customer,39,Personal Travel,Eco,1773,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18,neutral or dissatisfied
97,114534,Male,Loyal Customer,19,Personal Travel,Business,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0,neutral or dissatisfied
98,93076,Female,Loyal Customer,15,Personal Travel,Eco Plus,297,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62,neutral or dissatisfied
99,96963,Female,disloyal Customer,42,Business travel,Business,883,3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27,satisfied
100,85494,Female,Loyal Customer,16,Personal Travel,Eco,332,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52,neutral or dissatisfied
101,72989,Male,Loyal Customer,19,Business travel,Business,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0,satisfied
102,42357,Female,Loyal Customer,29,Personal Travel,Eco,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0,neutral or dissatisfied
103,23040,Female,disloyal Customer,27,Business travel,Eco Plus,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0,neutral or dissatisfied
104,65420,Male,disloyal Customer,22,Business travel,Business,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0,satisfied
105,65045,Female,Loyal Customer,15,Personal Travel,Eco,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0,neutral or dissatisfied
106,37373,Male,disloyal Customer,11,Business travel,Eco,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0,neutral or dissatisfied
107,44405,Female,Loyal Customer,34,Personal Travel,Eco,265,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23,neutral or dissatisfied
108,16653,Female,disloyal Customer,26,Business travel,Eco,488,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0,neutral or dissatisfied
109,71655,Female,Loyal Customer,26,Personal Travel,Eco,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0,neutral or dissatisfied
110,77591,Male,Loyal Customer,53,Business travel,Business,2332,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3,satisfied
111,4585,Male,Loyal Customer,36,Business travel,Business,3024,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13,neutral or dissatisfied
112,108347,Male,Loyal Customer,32,Business travel,Business,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0,neutral or dissatisfied
113,23400,Male,Loyal Customer,20,Personal Travel,Eco,483,2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82,neutral or dissatisfied
114,31010,Female,Loyal Customer,35,Business travel,Business,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0,satisfied
115,57513,Male,Loyal Customer,15,Personal Travel,Eco,235,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10,neutral or dissatisfied
116,20979,Male,Loyal Customer,52,Personal Travel,Eco,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0,neutral or dissatisfied
117,95841,Male,Loyal Customer,45,Business travel,Business,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0,satisfied
118,114684,Female,disloyal Customer,24,Business travel,Eco,372,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23,neutral or dissatisfied
119,111667,Female,Loyal Customer,46,Business travel,Business,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0,neutral or dissatisfied
120,20101,Male,disloyal Customer,26,Business travel,Eco,416,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9,neutral or dissatisfied
121,63212,Male,Loyal Customer,28,Business travel,Eco,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0,neutral or dissatisfied
122,8256,Male,Loyal Customer,11,Personal Travel,Eco,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0,neutral or dissatisfied
123,56161,Male,Loyal Customer,45,Business travel,Business,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9,satisfied
124,121196,Male,Loyal Customer,62,Personal Travel,Eco,2521,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30,neutral or dissatisfied
125,23788,Female,Loyal Customer,34,Business travel,Business,374,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0,satisfied
126,129579,Male,Loyal Customer,51,Business travel,Business,308,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8,satisfied
127,127516,Female,Loyal Customer,58,Business travel,Eco Plus,575,1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16,neutral or dissatisfied
128,18012,Male,Loyal Customer,22,Personal Travel,Eco,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0,neutral or dissatisfied
129,45561,Male,Loyal Customer,8,Business travel,Eco,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0,satisfied
130,5228,Male,disloyal Customer,26,Business travel,Business,351,4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11,satisfied
131,18311,Female,Loyal Customer,22,Personal Travel,Eco,549,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3,neutral or dissatisfied
132,59891,Female,Loyal Customer,21,Business travel,Business,3510,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0,neutral or dissatisfied
133,60651,Male,Loyal Customer,31,Business travel,Business,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0,neutral or dissatisfied
134,51013,Female,Loyal Customer,44,Personal Travel,Eco,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0,neutral or dissatisfied
135,91746,Male,Loyal Customer,27,Business travel,Business,588,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0,satisfied
136,4233,Female,Loyal Customer,47,Business travel,Business,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0,satisfied
137,14187,Male,Loyal Customer,24,Business travel,Business,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0,neutral or dissatisfied
138,19669,Male,Loyal Customer,67,Business travel,Business,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0,neutral or dissatisfied
139,31147,Male,Loyal Customer,32,Business travel,Business,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0,satisfied
140,128842,Female,Loyal Customer,58,Personal Travel,Eco,2475,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10,satisfied
141,27562,Male,Loyal Customer,12,Personal Travel,Eco,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0,neutral or dissatisfied
142,775,Female,Loyal Customer,56,Business travel,Business,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0,neutral or dissatisfied
143,14070,Female,Loyal Customer,58,Personal Travel,Business,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0,neutral or dissatisfied
144,106007,Male,disloyal Customer,24,Business travel,Eco,791,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6,neutral or dissatisfied
145,116004,Male,Loyal Customer,68,Personal Travel,Eco,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6,neutral or dissatisfied
146,68886,Male,Loyal Customer,46,Business travel,Business,1786,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7,satisfied
147,72413,Male,Loyal Customer,43,Business travel,Business,1849,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7,satisfied
148,73604,Female,Loyal Customer,55,Business travel,Business,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0,satisfied
149,48415,Female,Loyal Customer,54,Personal Travel,Business,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0,neutral or dissatisfied
150,105708,Female,Loyal Customer,42,Business travel,Business,3094,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10,satisfied
151,65579,Female,Loyal Customer,47,Business travel,Business,3465,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15,neutral or dissatisfied
152,73058,Female,disloyal Customer,29,Business travel,Business,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0,neutral or dissatisfied
153,65585,Female,Loyal Customer,36,Business travel,Eco,237,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0,neutral or dissatisfied
154,8346,Female,Loyal Customer,50,Business travel,Business,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0,satisfied
155,79678,Female,Loyal Customer,31,Personal Travel,Eco,760,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27,neutral or dissatisfied
156,112483,Male,Loyal Customer,13,Personal Travel,Eco,853,1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122,neutral or dissatisfied
157,31698,Male,disloyal Customer,24,Business travel,Eco,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0,neutral or dissatisfied
158,74030,Female,Loyal Customer,60,Business travel,Business,1071,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0,satisfied
159,124931,Female,Loyal Customer,42,Personal Travel,Eco,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3,neutral or dissatisfied
160,73924,Female,Loyal Customer,57,Business travel,Business,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0,satisfied
161,76073,Female,Loyal Customer,42,Business travel,Business,707,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11,satisfied
162,104623,Male,disloyal Customer,20,Business travel,Eco,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0,satisfied
163,58523,Female,Loyal Customer,51,Personal Travel,Eco,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0,neutral or dissatisfied
164,121929,Male,Loyal Customer,45,Business travel,Business,1790,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0,satisfied
165,30704,Female,Loyal Customer,26,Business travel,Eco Plus,680,5,5,5,5,5,5,5,5,1,4,5,1,3,5,12,27,satisfied
166,58896,Male,disloyal Customer,26,Business travel,Eco,888,2,2,2,3,5,2,5,5,4,3,3,2,4,5,51,30,neutral or dissatisfied
167,26920,Female,Loyal Customer,24,Personal Travel,Eco,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2,neutral or dissatisfied
168,13884,Male,Loyal Customer,49,Business travel,Eco,578,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179,satisfied
169,87681,Female,Loyal Customer,17,Business travel,Eco,606,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15,satisfied
170,81719,Female,Loyal Customer,39,Business travel,Business,1487,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0,satisfied
171,85554,Female,Loyal Customer,49,Business travel,Business,317,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0,satisfied
172,12645,Female,Loyal Customer,48,Personal Travel,Eco,844,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1,neutral or dissatisfied
173,101275,Male,Loyal Customer,52,Business travel,Business,3747,5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20,satisfied
174,95982,Female,Loyal Customer,25,Business travel,Business,2748,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0,satisfied
175,74610,Female,Loyal Customer,16,Business travel,Business,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0,neutral or dissatisfied
176,76449,Male,Loyal Customer,58,Business travel,Business,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0,satisfied
177,14030,Male,disloyal Customer,8,Business travel,Business,1117,4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7,neutral or dissatisfied
178,69692,Male,Loyal Customer,42,Business travel,Business,1372,3,3,5,3,4,4,4,5,4,5,4,4,3,4,141,125,satisfied
179,47648,Female,Loyal Customer,52,Business travel,Business,2768,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0,neutral or dissatisfied
180,52168,Female,Loyal Customer,47,Business travel,Eco,370,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0,satisfied
181,60251,Female,Loyal Customer,69,Personal Travel,Eco,1546,1,5,1,2,4,3,4,1,1,1,1,4,1,3,1,26,neutral or dissatisfied
182,35881,Female,Loyal Customer,47,Personal Travel,Eco,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0,neutral or dissatisfied
183,28852,Female,Loyal Customer,41,Business travel,Business,3636,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0,satisfied
184,55341,Female,Loyal Customer,40,Personal Travel,Eco,1325,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9,neutral or dissatisfied
185,84553,Female,Loyal Customer,56,Personal Travel,Eco,2556,1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0,neutral or dissatisfied
186,100249,Male,Loyal Customer,41,Business travel,Business,1052,2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0,satisfied
187,2463,Female,Loyal Customer,40,Business travel,Eco,773,3,4,4,4,3,3,3,3,2,5,4,4,4,3,15,26,neutral or dissatisfied
188,22924,Male,Loyal Customer,12,Personal Travel,Business,817,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0,neutral or dissatisfied
189,25542,Male,Loyal Customer,59,Personal Travel,Eco,516,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0,satisfied
190,115972,Female,Loyal Customer,21,Personal Travel,Eco,447,1,5,1,1,2,1,2,2,3,5,5,3,4,2,34,19,neutral or dissatisfied
191,2980,Male,Loyal Customer,12,Personal Travel,Eco,462,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0,neutral or dissatisfied
192,125097,Male,Loyal Customer,31,Business travel,Eco,361,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0,neutral or dissatisfied
193,46701,Female,Loyal Customer,37,Personal Travel,Eco,125,3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4,neutral or dissatisfied
